school_id,school_name,undergraduate_enrollment,student_to_faculty_ratio,classes_less_than_20,acceptance_rate,graduation_rate,annual_cost,usnews_score,funding,type,state,state_abb,city,rmp_school_score,department,equivalent_byui_college,professor_name,overall_quality,difficulty,would_take_again,n_ratings
209,Charter Oak State College,1501,13,NA,1,0.509,8254,NA,public,online,Connecticut,CT,New Britain,4.1,Education,College of Education and Human Development,Gayle Van Dijk,4.7,2,NA,3
209,Charter Oak State College,1501,13,NA,1,0.509,8254,NA,public,online,Connecticut,CT,New Britain,4.1,Education,College of Education and Human Development,Carol Weisburg,4,4,1,1
209,Charter Oak State College,1501,13,NA,1,0.509,8254,NA,public,online,Connecticut,CT,New Britain,4.1,Education,College of Education and Human Development,Jean Berresi,4.5,3.5,1,2
209,Charter Oak State College,1501,13,NA,1,0.509,8254,NA,public,online,Connecticut,CT,New Britain,4.1,Education,College of Education and Human Development,Jo-Ann Williams,1,4,0,2
209,Charter Oak State College,1501,13,NA,1,0.509,8254,NA,public,online,Connecticut,CT,New Britain,4.1,English,College of Language and Letters,David Sloane,3.5,4,NA,1
209,Charter Oak State College,1501,13,NA,1,0.509,8254,NA,public,online,Connecticut,CT,New Britain,4.1,English,College of Language and Letters,Jennifer Lapinel-Spincken,4,4,0.75,4
209,Charter Oak State College,1501,13,NA,1,0.509,8254,NA,public,online,Connecticut,CT,New Britain,4.1,English,College of Language and Letters,Lois Church,5,3,1,1
209,Charter Oak State College,1501,13,NA,1,0.509,8254,NA,public,online,Connecticut,CT,New Britain,4.1,English,College of Language and Letters,Ruth MacDonald,4.1,3.6,0.5,14
209,Charter Oak State College,1501,13,NA,1,0.509,8254,NA,public,online,Connecticut,CT,New Britain,4.1,English,College of Language and Letters,Deborah Bradford,3.8,2.8,NA,4
209,Charter Oak State College,1501,13,NA,1,0.509,8254,NA,public,online,Connecticut,CT,New Britain,4.1,English,College of Physical Sciences and Engineering,Michelle Rudden,1.6,4.4,0,12
209,Charter Oak State College,1501,13,NA,1,0.509,8254,NA,public,online,Connecticut,CT,New Britain,4.1,Mathematics,College of Physical Sciences and Engineering,Marsha Jones,2,4.5,0.34,4
209,Charter Oak State College,1501,13,NA,1,0.509,8254,NA,public,online,Connecticut,CT,New Britain,4.1,Mathematics,College of Physical Sciences and Engineering,Jody Tate,4.6,2.9,1,8
209,Charter Oak State College,1501,13,NA,1,0.509,8254,NA,public,online,Connecticut,CT,New Britain,4.1,Mathematics,College of Physical Sciences and Engineering,Keith Earnshaw,5,3,1,1
209,Charter Oak State College,1501,13,NA,1,0.509,8254,NA,public,online,Connecticut,CT,New Britain,4.1,Mathematics,College of Physical Sciences and Engineering,Andre Freeman,2.8,4.3,0.72,13
672,Western New Mexico University,3479,12,NA,1,0.333,13679,0.25,public,traditional,New Mexico,NM,Silver City,2.7,Biology,College of Agriculture and Life Sciences,James Tuohy,5,4,1,1
672,Western New Mexico University,3479,12,NA,1,0.333,13679,0.25,public,traditional,New Mexico,NM,Silver City,2.7,Biology,College of Agriculture and Life Sciences,Jan Frye,4.7,2.7,NA,3
672,Western New Mexico University,3479,12,NA,1,0.333,13679,0.25,public,traditional,New Mexico,NM,Silver City,2.7,Biology,College of Agriculture and Life Sciences,Eric Casler,3,4,0.5,2
672,Western New Mexico University,3479,12,NA,1,0.333,13679,0.25,public,traditional,New Mexico,NM,Silver City,2.7,Biology,College of Agriculture and Life Sciences,Paula Gentry,2.7,3.7,NA,2
672,Western New Mexico University,3479,12,NA,1,0.333,13679,0.25,public,traditional,New Mexico,NM,Silver City,2.7,Biology,College of Agriculture and Life Sciences,Jeff Hill,5,2.5,1,2
672,Western New Mexico University,3479,12,NA,1,0.333,13679,0.25,public,traditional,New Mexico,NM,Silver City,2.7,Business,College of Business and Communication,Bob Carson,5,4,NA,1
672,Western New Mexico University,3479,12,NA,1,0.333,13679,0.25,public,traditional,New Mexico,NM,Silver City,2.7,Business,College of Business and Communication,Jennifer Cook,5,4,NA,1
672,Western New Mexico University,3479,12,NA,1,0.333,13679,0.25,public,traditional,New Mexico,NM,Silver City,2.7,Business,College of Business and Communication,Linda Baldwin,4,1,NA,1
672,Western New Mexico University,3479,12,NA,1,0.333,13679,0.25,public,traditional,New Mexico,NM,Silver City,2.7,Business,College of Business and Communication,Irene Meares,2.5,1,NA,2
672,Western New Mexico University,3479,12,NA,1,0.333,13679,0.25,public,traditional,New Mexico,NM,Silver City,2.7,Business,College of Business and Communication,Laurie Barfitt,4.3,4,1,2
672,Western New Mexico University,3479,12,NA,1,0.333,13679,0.25,public,traditional,New Mexico,NM,Silver City,2.7,Education,College of Education and Human Development,Trinidad Tolar,3,3.5,1,2
672,Western New Mexico University,3479,12,NA,1,0.333,13679,0.25,public,traditional,New Mexico,NM,Silver City,2.7,Education,College of Education and Human Development,Carlos Del Rio,1,2,0,2
672,Western New Mexico University,3479,12,NA,1,0.333,13679,0.25,public,traditional,New Mexico,NM,Silver City,2.7,Education,College of Education and Human Development,Roberta Marquez,3.9,3.6,0.78,18
672,Western New Mexico University,3479,12,NA,1,0.333,13679,0.25,public,traditional,New Mexico,NM,Silver City,2.7,Education,College of Education and Human Development,Manuel Bustamante,5,2.5,1,8
672,Western New Mexico University,3479,12,NA,1,0.333,13679,0.25,public,traditional,New Mexico,NM,Silver City,2.7,Education,College of Education and Human Development,Don Risdon,4.4,3.8,0.92,52
672,Western New Mexico University,3479,12,NA,1,0.333,13679,0.25,public,traditional,New Mexico,NM,Silver City,2.7,English,College of Language and Letters,Sharman Russell,5,3,NA,2
672,Western New Mexico University,3479,12,NA,1,0.333,13679,0.25,public,traditional,New Mexico,NM,Silver City,2.7,English,College of Language and Letters,Andrew Joy,4.8,3,1,3
672,Western New Mexico University,3479,12,NA,1,0.333,13679,0.25,public,traditional,New Mexico,NM,Silver City,2.7,English,College of Language and Letters,Royce Grubic,1.8,4.6,0.2,5
672,Western New Mexico University,3479,12,NA,1,0.333,13679,0.25,public,traditional,New Mexico,NM,Silver City,2.7,English,College of Language and Letters,Tamer Ellis,2,3,NA,1
